review_id,repo,file_path,carrier,scope,components,orientation,component_evidence_json,rule_summary,source_url,linked_policy_urls
FCR-0002,DAAF-Contribution-Community/daaf,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,human_responsibility;restriction_or_ban,conditional_acceptance_accountability,"{""human_responsibility"": ""Evidence: 'you are responsible for the quality and correctness of the result. Take ownership and be thoughtful about what you're asking others to review and spend time engaging with.'"", ""restriction_or_ban"": ""Evidence: 'Submitting unreviewed AI-generated output as a contribution is just not going to fly here.'""}","AI-assisted contributions are allowed but require human review, understanding, and responsibility for correctness; unreviewed AI-generated output is banned.",https://raw.githubusercontent.com/DAAF-Contribution-Community/daaf/HEAD/CONTRIBUTING.md,https://raw.githubusercontent.com/DAAF-Contribution-Community/daaf/HEAD/user_reference/04_extending_daaf.md;https://raw.githubusercontent.com/DAAF-Contribution-Community/daaf/HEAD/user_reference/02_understanding_daaf.md;https://raw.githubusercontent.com/DAAF-Contribution-Community/daaf/HEAD/CODE_OF_CONDUCT.md
FCR-0003,IBM/sarama,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;issue_or_bug_report,authorship_or_provenance;human_responsibility,conditional_acceptance_accountability,"{""authorship_or_provenance"": ""Evidence: 'do not include it in the Co-authored-by or Signed-off-by commit trailer.'"", ""human_responsibility"": ""Evidence: 'You remain fully responsible for correctness, maintainability, security, style, and licensing compliance.'""}",AI-assisted contributions are permitted but require human responsibility for correctness and compliance; AI tools should not be credited in commit trailers.,https://raw.githubusercontent.com/IBM/sarama/HEAD/CONTRIBUTING.md,
FCR-0006,OWASP/mastg,.github/PULL_REQUEST_TEMPLATE.md,pr_template,pull_request_or_patch,disclosure;model_tool_usage_detail;process_requirement;restriction_or_ban,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""Evidence: 'Check exactly one option: This contribution includes AI-generated content.'"", ""model_tool_usage_detail"": ""Evidence: 'AI tools used: e.g. ChatGPT, GitHub Copilot, Claude.'"", ""process_requirement"": ""Evidence: 'Check exactly one option' embedded in the PR template."", ""restriction_or_ban"": ""Evidence: 'Undisclosed use of AI tools will result in the PR being closed.'""}","AI-assisted contributions require disclosure, tool/model details, and adherence to review requirements; undisclosed AI use results in PR closure.",https://raw.githubusercontent.com/OWASP/mastg/HEAD/.github/PULL_REQUEST_TEMPLATE.md,
FCR-0008,TecharoHQ/anubis,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,authorship_or_provenance;process_requirement,process_template_absorption,"{""authorship_or_provenance"": ""Evidence: 'AI agents must disclose what tool and model they are using in the \""Assisted-by\"" commit footer.'"", ""process_requirement"": ""Evidence: 'ALL git commits MUST be made with `--signoff`. This is mandatory.'""}",AI-assisted contributions require attribution in commit footers and mandatory sign-off for all commits.,https://raw.githubusercontent.com/TecharoHQ/anubis/HEAD/CONTRIBUTING.md,
FCR-0010,clidey/whodb,.github/PULL_REQUEST_TEMPLATE.md,pr_template,pull_request_or_patch,disclosure;human_responsibility;process_requirement;verification_testing,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""Evidence: 'AI disclosure: I used AI tools (e.g., Copilot, ChatGPT, Claude) to help write code in this PR.'"", ""human_responsibility"": ""Evidence: 'I understand every line of code in this PR and can explain any part of it.'"", ""process_requirement"": ""Evidence: 'AI disclosure' checkbox embedded in the PR template."", ""verification_testing"": ""Evidence: 'I have reviewed all AI-generated code for correctness, security, and adherence to project conventions.'""}","AI-assisted contributions require disclosure, human understanding, review for correctness, and adherence to project conventions.",https://raw.githubusercontent.com/clidey/whodb/HEAD/.github/PULL_REQUEST_TEMPLATE.md,https://raw.githubusercontent.com/clidey/whodb/main/CONTRIBUTING.md
FCR-0011,freebsd/freebsd-src,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,human_responsibility;restriction_or_ban;verification_testing,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""human_responsibility"": ""Contributors are required to ensure substantial human review and validation of AI-generated changes."", ""restriction_or_ban"": ""Changes generated by AI tools without substantial human review and validation are explicitly not allowed."", ""verification_testing"": ""Pull requests must pass all GitHub CI jobs and adhere to quality expectations.""}","AI-generated contributions are restricted unless they undergo substantial human review and validation, pass CI tests, and meet quality standards.",https://raw.githubusercontent.com/freebsd/freebsd-src/HEAD/CONTRIBUTING.md,
FCR-0012,getpaykit/paykit,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,disclosure;human_responsibility,conditional_acceptance_accountability,"{""disclosure"": ""AI-assisted PRs are welcome, but contributors must disclose AI assistance in the PR."", ""human_responsibility"": ""Contributors must be able to speak to the code in review, regardless of AI assistance.""}",AI-assisted contributions are allowed if disclosed and if contributors take responsibility for the code during review.,https://raw.githubusercontent.com/getpaykit/paykit/HEAD/CONTRIBUTING.md,https://raw.githubusercontent.com/getpaykit/paykit/HEAD/AGENTS.md
FCR-0013,hashicorp/terraform-provider-azurerm,.github/pull_request_template.md,pr_template,pull_request_or_patch,disclosure;model_tool_usage_detail;process_requirement,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""Contributors must disclose AI/LLM assistance in the pull request and check a box if AI was used."", ""model_tool_usage_detail"": ""Contributors are asked to describe the extent of AI usage in the pull request."", ""process_requirement"": ""The disclosure requirement is embedded in the PR template as a checkbox.""}",AI-assisted contributions must disclose AI usage and describe its extent via a structured PR template.,https://raw.githubusercontent.com/hashicorp/terraform-provider-azurerm/HEAD/.github/pull_request_template.md,https://raw.githubusercontent.com/hashicorp/terraform-provider-azurerm/main/contributing/topics/guide-state-migrations.md
FCR-0015,microsoft/TypeScript,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,disclosure;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""disclosure"": ""Contributors must disclose AI tool usage in the PR description."", ""restriction_or_ban"": ""PRs appearing AI-authored without disclosure will be closed without review.""}","AI-assisted contributions must disclose AI usage, and undisclosed AI-authored PRs will be rejected.",https://raw.githubusercontent.com/microsoft/TypeScript/HEAD/CONTRIBUTING.md,
FCR-0018,open-quantum-safe/liboqs,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,disclosure;human_responsibility;verification_testing,conditional_acceptance_accountability,"{""disclosure"": ""Contributions produced with generative AI must declare AI usage in the pull request description."", ""human_responsibility"": ""Contributors must verify and affirm AI-assisted contributions before submission."", ""verification_testing"": ""All PRs must pass CI tests before moving to the review stage.""}","AI-assisted contributions must disclose AI usage, be verified by contributors, and pass CI tests before review.",https://raw.githubusercontent.com/open-quantum-safe/liboqs/HEAD/CONTRIBUTING.md,
