event_id,review_id,treated_repo,treated_path,adoption_date,adjudicated_carrier,adjudicated_components,control_repo,match_rank,match_distance,candidate_stage,exact_language,exact_owner_type,exact_star_cell,exact_pr_activity_cell,treated_primaryLanguage,control_primaryLanguage,treated_ownerType,control_ownerType,treated_seedStarCell,control_seedStarCell,treated_pr_activity_cell,control_pr_activity_cell,treated_stars,control_stars,treated_pull_requests_total,control_pull_requests_total,treated_issues_total,control_issues_total,treated_governance_maturity_score,control_governance_maturity_score,treated_age_days,control_age_days
FTE002,FCR-0147,ros-navigation/navigation2,.github/PULL_REQUEST_TEMPLATE.md,2023-11-20T23:22:48Z,pr_template,disclosure;process_requirement;restriction_or_ban,domoticz/domoticz,1,0.535266,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,3000-9999,3000-9999,4219,3742,3577,3277,2539,3395,,,2904,3922
FTE002,FCR-0147,ros-navigation/navigation2,.github/PULL_REQUEST_TEMPLATE.md,2023-11-20T23:22:48Z,pr_template,disclosure;process_requirement;restriction_or_ban,microsoft/DirectXShaderCompiler,2,0.597633,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,3000-9999,3000-9999,4219,3556,3577,5378,2539,2947,,,2904,3442
FTE002,FCR-0147,ros-navigation/navigation2,.github/PULL_REQUEST_TEMPLATE.md,2023-11-20T23:22:48Z,pr_template,disclosure;process_requirement;restriction_or_ban,nextcloud/desktop,3,0.617562,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,3000-9999,3000-9999,4219,3697,3577,4710,2539,5144,,,2904,3148
FTE002,FCR-0147,ros-navigation/navigation2,.github/PULL_REQUEST_TEMPLATE.md,2023-11-20T23:22:48Z,pr_template,disclosure;process_requirement;restriction_or_ban,sorbet/sorbet,4,0.948682,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,3000-9999,3000-9999,4219,3764,3577,8014,2539,2212,,,2904,2876
FTE002,FCR-0147,ros-navigation/navigation2,.github/PULL_REQUEST_TEMPLATE.md,2023-11-20T23:22:48Z,pr_template,disclosure;process_requirement;restriction_or_ban,libjxl/libjxl,5,1.020383,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,3000-9999,3000-9999,4219,3466,3577,3573,2539,1124,,,2904,1907
FTE003,FCR-0200,apache/orc,.github/PULL_REQUEST_TEMPLATE,2024-01-09T22:04:41Z,pr_template,authorship_or_provenance;disclosure;process_requirement,AthenZ/athenz,1,0.466739,language_owner_star_prcell,True,True,True,True,Java,Java,Organization,Organization,200-999,200-999,1000-2999,1000-2999,766,987,2328,2990,285,328,,,4023,3463
FTE003,FCR-0200,apache/orc,.github/PULL_REQUEST_TEMPLATE,2024-01-09T22:04:41Z,pr_template,authorship_or_provenance;disclosure;process_requirement,stripe/stripe-java,2,0.746344,language_owner_star_prcell,True,True,True,True,Java,Java,Organization,Organization,200-999,200-999,1000-2999,1000-2999,766,971,2328,1747,285,454,,,4023,5389
FTE003,FCR-0200,apache/orc,.github/PULL_REQUEST_TEMPLATE,2024-01-09T22:04:41Z,pr_template,authorship_or_provenance;disclosure;process_requirement,SCADA-LTS/Scada-LTS,3,1.153263,language_owner_star_prcell,True,True,True,True,Java,Java,Organization,Organization,200-999,200-999,1000-2999,1000-2999,766,944,2328,1651,285,1532,,,4023,3596
FTE003,FCR-0200,apache/orc,.github/PULL_REQUEST_TEMPLATE,2024-01-09T22:04:41Z,pr_template,authorship_or_provenance;disclosure;process_requirement,palantir/palantir-java-format,4,1.209562,language_owner_star_prcell,True,True,True,True,Java,Java,Organization,Organization,200-999,200-999,1000-2999,1000-2999,766,798,2328,1477,285,178,,,4023,2405
FTE003,FCR-0200,apache/orc,.github/PULL_REQUEST_TEMPLATE,2024-01-09T22:04:41Z,pr_template,authorship_or_provenance;disclosure;process_requirement,oceanbase/odc,5,2.082156,language_owner_star_prcell,True,True,True,True,Java,Java,Organization,Organization,200-999,200-999,1000-2999,1000-2999,766,596,2328,2049,285,2452,,,4023,1007
