review_id,repo,primary_path,trace_path_used,adjudicated_carrier,adjudicated_components,adjudicated_orientation,trace_status,adoption_located,adoption_date,adoption_commit,adoption_message,date_reliability,history_commits_checked,history_truncated,candidate_paths_considered,candidate_paths_with_current_match,current_file_checked,current_file_matches,first_match_basis,matched_rule_components,evidence_snippet,fetch_error_count,trace_error
FCR-0002,DAAF-Contribution-Community/daaf,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,human_responsibility;restriction_or_ban,conditional_acceptance_accountability,located,True,2026-02-15T00:25:40Z,e774e5ddad3d71cf21e8598539858627bcc1d932,Documentation updates and contribution guidelines,high,1,False,CONTRIBUTING.md;user_reference/04_extending_daaf.md;user_reference/02_understanding_daaf.md;CODE_OF_CONDUCT.md;user_reference/07_faq_technical.md;user_reference/06_faq_philosophy.md;.claude/agents/README.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;verification_testing,", IPEDS, Scorecard - **The API endpoint or variables involved** -- if you can identify them - **What the data looked like vs. what was expected** -- row counts, unexpected values, missing columns --- ## Using Session Logs for Debugging and Issue Reports How to find, read, and include session logs when reporting issues. ### Where Session Logs Are Stored Claude Code automatically archives a complete log of every session when it ends. These are stored locally in `.claude/logs/sessions/` in two formats: | Format | File Pattern | Purpose | |--------|-------------|---------| | **Markdown** (`.md`) | `YYYY-MM-DD_HH-MM-SS_<session-id>.md` | Human-readable transcript with tool calls, timestamps, and token usage | | **JS",0,
FCR-0003,IBM/sarama,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,authorship_or_provenance;human_responsibility,conditional_acceptance_accountability,located,True,2026-02-25T08:23:28Z,c1bf7ec2e57c6509fa2605c456f341748bcaab5a,chore: add ai-assistance guidelines to CONTRIBUTING.md (#3452),high,7,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;security_reporting;verification_testing,"/github.com/IBM/sarama/fork [pr]: https://github.com/IBM/sarama/compare [released]: https://help.github.com/articles/github-terms-of-service/#6-contributions-under-repository-license Hi there! We are thrilled that you would like to contribute to Sarama. Contributions are always welcome, both reporting issues and submitting pull requests! ## AI-Assistance AI-assisted tools (e.g., code generation or language models) _may_ be used in the course of contributing issues and pull requests. However, all contributions must meet the same standards as entirely human-written work and the use of AI should ideally be imperceptible. You remain fully responsible for correctness, maintainability, security, style, and licensing complian",0,
FCR-0006,OWASP/mastg,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,pr_template,disclosure;model_tool_usage_detail;process_requirement;restriction_or_ban,conditional_acceptance_accountability;process_template_absorption,located,True,2026-01-04T19:09:04Z,7c22260c39804c73942c9450c173944bcfbfd016,update PR template,high,3,False,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,True,True,strict_main_ai_contribution_governance,disclosure;process_requirement,"This PR closes #issue_number ## Description Provide a brief description of the changes introduced by this PR. ------------------- ### AI Tool Disclosure - [ ] My contribution does not include any AI-generated content - [ ] My contribution includes AI-generated content, as disclosed below: - AI Tools: `[e.g. GitHub CoPilot, ChatGPT, JetBrains Junie etc.]` - LLMs and versions: `[e.g. GPT-4.1, Claude Haiku 4.5, Gemini 2.5 Pro etc.]` - Prompts: `[Summarize the key prompts or instructions",0,
FCR-0008,TecharoHQ/anubis,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,authorship_or_provenance;process_requirement,process_template_absorption,located,True,2026-02-15T13:19:12Z,bf5d66222cd484a54f00fc74bcc1cef18d288a74,"chore: set up commitlint, husky, and prettier (#1451)",high,1,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,agent_instruction_boundary;disclosure;human_responsibility;process_requirement;security_reporting;verification_testing,"period. - Reference issues/PRs in the footer when applicable. - **ALL git commits MUST be made with `--signoff`.** This is mandatory. ### Attribution Requirements AI agents must disclose what tool and model they are using in the ""Assisted-by"" commit footer: ```text Assisted-by: [Model Name] via [Tool Name] ``` Example: ```text Assisted-by: GLM 4.6 via Claude Code ``` ## PR Checklist - Add description of changes to `[Unreleased]` in `docs/docs/CHANGELOG.md`. - Add test cases for bug fixes and behavior changes. - Run integration tests: `npm run test:integration`. - All commits must have verified (signed) signatures. ## Key Conventions - **Security-first**: This is security software. Code reviews are strict. A",0,
FCR-0010,clidey/whodb,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,pr_template,disclosure;human_responsibility;process_requirement;verification_testing,conditional_acceptance_accountability;process_template_absorption,located,True,2026-04-20T14:29:18Z,3efdb7e266d83507600df611e7bb1c3d343b963f,add PR template,high,1,False,.github/PULL_REQUEST_TEMPLATE.md;CONTRIBUTING.md,.github/PULL_REQUEST_TEMPLATE.md,True,True,strict_main_ai_contribution_governance,disclosure;human_responsibility;process_requirement;security_reporting;verification_testing,"ave read the [Contributing Guidelines](../CONTRIBUTING.md) - [ ] I discussed this change in an issue before starting work - [ ] My PR description is written in my own words and accurately describes my changes - [ ] I have tested my changes locally - [ ] I have not included build artifacts or unrelated changes ### AI disclosure - [ ] I used AI tools (e.g., Copilot, ChatGPT, Claude) to help write code in this PR <!-- If you checked the box above, confirm the following: --> <!-- - [ ] I understand every line of code in this PR and can explain any part of it --> <!-- - [ ] The PR description above was written by me, not generated by AI --> <!-- - [ ] I have reviewed all AI-generated code for correctness, security, and",0,
FCR-0011,freebsd/freebsd-src,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,conditional_acceptance_accountability;exclusionary_gatekeeping,located,True,2025-07-25T22:24:34Z,015ae668899383ebf7969863dae1b45e169bbcdc,github: Update with better guidance on what's acceptable for src,high,19,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,hybrid_local_ai_contribution_governance,human_responsibility;process_requirement;verification_testing,"esults. Please also see the chunking up guidelines. Also, please make sure that kyua tests are the same before / after your change. Ideally, you'd also create a test case that shows an actual bug that's being fixed by these changes. * FreeBSD committers submitting pull requests are responsible for pushing them into the tree (possibly with approval if cross-repo commit bit policy needs it). Pull requests by FreeBSD committers will be closed after a month unless there's a very good reason not to. * Submissions using generative AI will be rejected. * Submissions from AI chatbots will result in the account being banned. When updating your pull request, please rebase with a forced push rather than a merge commit. More complex changes may be submitted as pull requests, but they may be closed if they are too large, too unwieldy, become inactive, need further discussion in the community, or need extensive revision. Please avoid creating large, wide-ranging cleanup patches: they are too large and lack the focus needed for a good review. Misdi",0,
FCR-0012,getpaykit/paykit,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,disclosure;human_responsibility,conditional_acceptance_accountability,located,True,2026-04-09T16:37:35Z,a7d9c9ee1fb598961f327c2ff958769c058d3aaf,docs: add contributing guide,high,1,False,CONTRIBUTING.md;./AGENTS.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;security_reporting;verification_testing,"Search [existing issues](https://github.com/getpaykit/paykit/issues) first. If none match, open a new one with: - A minimal reproduction - Expected vs. actual behavior - Node.js version and relevant package versions ## Security **Do not open a public issue for security vulnerabilities.** Email [security@paykit.sh](mailto:security@paykit.sh) instead. ## AI-Assisted Contributions AI-assisted PRs are welcome. The bar is the same as for any other PR: the change solves a real problem, includes tests, and the contributor can speak to the code in review.",0,
FCR-0013,hashicorp/terraform-provider-azurerm,.github/pull_request_template.md,.github/pull_request_template.md,pr_template,disclosure;model_tool_usage_detail;process_requirement,conditional_acceptance_accountability;process_template_absorption,located,True,2025-10-01T15:39:41Z,b3c3ed98954edca07cacad119074bc7f7d9a8a8c,PR Template - add AI assistance section (#30753),high,15,False,.github/pull_request_template.md;contributing/topics/guide-state-migrations.md,.github/pull_request_template.md,True,True,strict_main_ai_contribution_governance,disclosure;process_requirement;security_reporting,"isclosure <!-- IMPORTANT! If you are using any kind of AI/LLM assistance to contribute to the AzureRM provider, this must be disclosed in the pull request. If this is the case, please check the box below, and include the extent to which AI was used. (e.g. documentation only, code generation, etc.) If responses to this pull request are/will be generated using AI, disclose this as well. --> - [ ] AI Assisted - This contribution was made by, or with the assistance of, AI/LLMs <!-- extent of AI usage can be described here --> <!-- heimdall_github_prtemplate:grc-pci_dss-2024-01-05 --> ## Rollback Plan If a change needs to be reverted, we will publish an updated version of the provider. ## Changes to Security Cont",0,
FCR-0015,microsoft/TypeScript,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,disclosure;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,located,True,2026-04-06T20:19:59Z,5f435057a5154e95c74fbb94d241da6d4c207be3,Require AI disclosure in PR descriptions (#63366),high,83,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,disclosure;human_responsibility;process_requirement;security_reporting;verification_testing,"t/typescript-go repo. Development in this codebase [is winding down](https://devblogs.microsoft.com/typescript/progress-on-typescript-7-december-2025/#typescript-6.0-is-the-last-javascript-based-release) and PRs will only be merged if they fix **critical** 6.0 issues (at minimum, any bug that existed in 5.9 is not critical unless it's a security issue). ## Use of AI Assistance It is acceptable to use AI tools to assist in developing PRs. However, we ask that you disclose this in the PR description. If your PR appears AI-authored and you do not include this disclosure, your PR will be closed without review. Repeated violation of this will be considered disruptive conduct, which may result in being blocked from interact",0,
FCR-0018,open-quantum-safe/liboqs,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,disclosure;human_responsibility;verification_testing,conditional_acceptance_accountability,located,True,2025-09-17T16:57:03Z,9b0b72d225cf80bb026d66f3869d9d5053d4a7ae,Add guidance / questions on generative AI use (#2269),high,12,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,disclosure;human_responsibility;process_requirement;security_reporting;verification_testing,"ature requests or create a [discussion](https://github.com/open-quantum-safe/liboqs/discussions). ## Pull requests Pull requests should clearly state their purpose, possibly referencing an existing [issue](https://github.com/open-quantum-safe/liboqs/issues) when resolving it. Pull requests containing code, documentation, or text produced with the help of generative AI must declare that in the pull request description and describe the nature of the use. Contributors are expected to have verified and affirm such contributions themselves before submission. Contributors using AI assistants are encouraged to read the OpenSSF's [Security-Focused Guide for AI Code Assistant Instructions](https://best.openssf.org/Security-Focuse",0,
